telefono,nombre,apellido,dni,telefono2,telefono3
3512345678,juan,perez,8456123,3512345689,3512345700
3512345679,susana,gimenez,8456124,3512345690,3512345701
3512345680,leo,messi,8456125,3512345691,3512345702
3512345681,mirta,legrand,8456126,3512345692,3512345703
3512345682,moria,casan,8456127,3512345693,3512345704
3512345683,pablo,guiñazu,8456128,3512345694,3512345705
3512345684,mercedes,sosa,8456129,3512345695,3512345706
3512345685,jose,martin,8456130,3512345696,3512345707
3512345686,ricardo,darin,8456131,3512345697,3512345708
3512345687,juan,fangio,8456132,3512345698,3512345709
3512345688,ricardo,canaletti,8456133,3512345699,3512345710
